,question
55528,WRB JJ NNS IN DT IN DT NN VBZ DT JJ NNP VBP IN NN .
55529,"IN VBG JJ NN NNS , NNP POS NNS VBP DT JJ NN IN WP NN ."
55530,DT NNP NNP VBD VBN IN CD TO VB CC VB WP NNS .
55531,WP VBZ DT NNP NNP NNP NN IN NN .
55532,NNP POS NNP NNP CC NNP NNP NNS VBD RB CD NN VBN IN WP .
55533,WP JJ CC JJ NN VBD VBN IN NN IN NNP NNP POS NN .
55534,WP NNP NN VBD VBN IN DT JJ NN IN NNP CC PRP$ NN NN .
55535,WP VBD DT JJ NN IN DT NN IN DT NNP NNP .
55536,WP JJ NN VBZ VBN IN NNP NNP NNP .
55537,JJ NNP VBZ DT NN VBN IN WP NN .
55538,IN WDT NN VBZ DT NNP NNP NNP VBN .
55539,WP VBP DT NNS IN NNP POS CD JJ NN NNS .
55540,NNP NNP IN NNP CC NNP NNP IN NNP VBP NNS IN WP .
55541,WP JJ NN IN JJ NNS VBD PRP$ JJ NN IN NNP .
55542,IN WDT VBG NN VBD DT NNP VBP RB IN PRP$ NN .
55543,"WP IN NN VBD DT NNS IN JJ JJ NN NNS CC NNS IN DT CD , CD , CC CD ."
55544,WP NNP NN NN NNS PRP$ JJ NN IN DT JJ NN NN .
55545,"VBN IN NNP , WP VBZ DT JJS NN NN IN DT NN ."
55546,NNP VBD DT JJ NN IN DT NN IN WP JJ NN .
55547,"JJ NNS WDT VBD NN IN NNP CC RB , JJ IN NN , VBD VBN IN CC VBN IN WP ."
55548,WDT NNP NN NN VBZ RB IN JJ CC JJ NN .
55549,WP NN NN NN VBN IN NNP NNP VBD PRP$ NN IN NNP POS NN NN .
55550,WRB JJ NN NNS VBP VBN IN DT NN IN NNP .
55551,IN WDT NN VBZ DT NNP NNP VBD .
55552,"WP VBD JJ NNS DT NN IN PRP$ NN , DT NN VBN IN NNP NNPS ."
55553,WP NN IN NNP POS NNP VBZ DT JJ NN TO VB DT NNP NN .
55554,WP JJ NN NN VBZ VBN IN NNP POS NNP .
55555,WP JJ NNP NNS VBD VBN IN DT NNP NNP NNP IN NNP IN CD .
55556,NNP NNP VBZ VBN IN WP NNP NN .
55557,WP NN VBZ DT NNP NNP IN NNP NNP CC NNP NNP .
55558,WP JJ JJ NN NNS JJ JJ NN NNS RB NN .
55559,"NNS RB VBP IN JJ NNS JJ IN NN , NN , CC NN , IN WP JJS ."
55560,WP NN VBZ DT NN IN DT NNP NNP .
55561,WP VBZ DT NNP NNP NNP NNP RB VBD IN .
55562,WP VBG NN VBD VBN IN DT NN TO DT NN IN DT NNP NNP WP VBD RB .
55563,JJ VBG NN VBZ DT NN IN DT NN IN NN IN WDT PRP VBZ VBN .
55564,WP JJ NNS VBZ VBN TO VB DT VBG NN .
55565,WP VBZ NNP POS RBS JJ JJ NN .
55566,WRB JJ IN DT NN NNS IN DT NNP NNP VBP VBN IN NNP .
55567,WRB VBD DT NNP NNP NNP VBP DT NNP NNP NNP NN .
55568,WRB JJ JJ NN NNS VBP NNP PRP$ NN .
55569,"IN DT NNP , NNP , CC NNP NN NNS , WRB JJ JJ NN NN VBP VBN DT JJ NN NN ."
55570,WP VBZ DT NN IN DT JJ NN NN NN VBN IN NNP NNP .
55571,WP VBZ DT JJ NN VBG NN IN NNP NNP .
55572,"IN DT CD NNP NNP NNP NN NNS IN NNP , WDT NNS RB VBP IN DT NNP NNP NNP ."
55573,WRB VB DT NNP NNP CC NNP NNP NN NNS VBP PRP$ NN NNS .
55574,NNP POS JJ NN NN VBZ JJ TO WP NN POS NNP .
55575,WP VBZ DT JJ NN IN NN IN JJ NN IN JJ NNP IN IN NNP CD .
55576,DT NNP NNP NNP NN VBZ VBN NNP IN DT RBS JJ NN NN IN DT NN IN WRB JJ JJ NNS .
55577,WP NN VBZ DT JJS NNS IN NN IN NNP .
55578,WP VBZ DT JJ NN NN IN JJ NN IN NNP IN IN NNP CD .
55579,WRB VBZ DT NNP NNP NNP NN `` NN '' IN JJ .
55580,WP VBZ DT NN IN DT NN IN NN VBZ DT NN IN NNS CC NN NNS .
55581,WP VBD NNP NNP VB DT VBD PRP TO VB JJ IN NN .
55582,IN WRB VBD NNS JJ TO VB TO DT NN WP NN RB VBN .
55583,NN DT JJ NNS WDT VBP IN NNS NN .
55584,WP VBZ DT NN `` JJ NN NN '' NN .
55585,WP VBD RB VBN CC VBN IN JJ NNS TO VB DT NN IN NN NN .
55586,IN WP NN VBD NNP NNP NN .
55587,WP VBP DT NNS IN NN JJ NN VBZ VBN IN .
55588,WP VBZ DT NN `` NNP NNP '' NN .
55589,WP JJ NNS NN IN DT NN NN NN .
55590,WP VBZ IN DT NN `` JJ NN '' .
55591,WP VBZ DT JJ NN `` NN '' VBN IN .
55592,WP VBD RP DT NN VBN IN NNP .
55593,"NNP VBD NN WDT VBD IN DT JJ NN IN DT NN , WP VBD PRP ."
55594,WP VBZ VBP NNP NNS IN IN NN IN NNS VBP IN NN .
55595,WP VBZ DT JJ NN VBD WDT VBZ DT NN IN NN NNS RB VBG NNS .
55596,JJ NN NN VBD VBN IN DT NN IN NNS IN JJ NNS .
55597,WP MD VB JJ NNS CC JJ NN .
55598,"IN DT NN VBN , WP VBD JJ WRB VBN IN NNP CC VBZ JJ IN DT NNP NNPS ."
55599,WP VBZ DT NN NNP NN NN .
55600,"WDT JJ NN IN JJ VBG JJ NNS , NNS , CC NNS ."
55601,WP VBD DT JJ NN . `` NNP VBZ NN POS NN IN PRP$ JJ NN '' .
55602,WP VBZ DT NN NNP VBP NN .
55603,JJ NNP NN VBD IN JJ NN VBZ JJ NNS CC VBZ RB JJ IN JJ NN .
55604,JJ NNP NN VBD IN DT NN .
55605,IN WDT RB VBD NNS IN NNP VBD DT RBR JJ NN .
55606,WP VBD DT JJ NN VBN IN DT NN IN DT NN IN DT NNP NN .
55607,"VBG TO NNP , WP VBD PRP VB DT JJ NNS VBN ."
55608,WP VBD DT NN IN DT NN VBD IN `` DT JJ NN IN NN '' .
55609,WP VBD IN NNP POS NNS IN NN .
55610,WP VBD NN NN TO IN NN .
55611,WP VBD VBN IN NN IN DT JJ NN .
55612,NN CC NN VBD DT IN DT NNS IN JJ VBN TO WP NN IN NN .
55613,DT NN IN NN IN NNP IN DT JJ NN VBD WP IN DT NN NN .
55614,WRB VBD NNP NNP NN `` NN '' IN .
55615,WDT CD NNS VBD `` NN '' IN DT NN IN NN .
55616,JJ NN VBD VBN VBG `` IN DT NN IN NN '' IN DT NNPS .
55617,"`` IN DT NN IN NN '' VBD VBN IN CD NNS , WP WRB PRP ."
55618,WP NN IN NN VBD NNS VB IN JJ JJ NN .
55619,JJ NN IN NN VBN JJ CC NN .
55620,WP VBD DT NN VBN IN DT JJ JJ NN IN DT JJ NNS .
55621,WP VBZ NN IN NN VBD VB NN .
55622,WP CD NNS VBP RP NNP NN WDT VBP DT JJ NN IN PRP$ NN IN NN .
55623,IN WDT NN VBD `` NN '' IN DT JJ NN IN NNP NN NN .
55624,WP VBD TO NN IN DT NN IN NNS .
55625,WP VBZ RP DT JJ NNS IN NN VBG TO NNP .
55626,WP VBZ JJ NN NN TO .
55627,DT NN JJ NN VBZ RB JJ TO WP .
55628,WRB VBD VB NN NN IN .
55629,WP VBD DT JJ TO VB TO NN IN NN .
55630,WP VBP JJ VB NN TO VB IN JJ NN IN NN .
55631,WDT CD JJ NN VBD VB NN IN NN .
55632,WP VBD DT JJ NNS IN DT NN IN NNP NN .
55633,WP VBZ JJS IN DT NN IN JJ NN .
55634,JJ NN VBD VBN IN NNP IN DT NNP NNP .
55635,WP VBD NNP IN NNP NNP CC NNP NNP PRP VBP NN IN .
55636,WP VBD RP NN NNS CC NNS IN VBN IN NNP .
55637,WP VBD NN IN NNP CC NNP TO VB IN NN NNS CC DT NN IN NN .
55638,IN DT NNP WP VBZ `` JJ NNPS '' NN RB IN IN DT NN .
55639,WP RB VBD DT NN `` JJ NNPS '' IN DT NNP NNPS .
55640,WP VBD DT NN IN DT NN VBN IN NNP IN CD .
55641,DT NNP VBZ IN VBN VBN IN WP .
55642,WP VBD NNP NNP NN RB RB IN .
55643,WP VBD NNP CC PRP$ NNS VB .
55644,"IN DT NN IN NNP VBD VBG , WP VBD PRP CC PRP$ NNS RB VBP IN ."
55645,NN MD VB VBN TO IN WP NN .
55646,DT NN IN NN IN JJ NNS MD VB WP VBZ JJ IN VBN NN .
55647,JJ CD NNS VBP VBN DT JJ NN IN JJ NNS .
55648,WP VBZ RP JJ JJ NNS .
55649,IN WRB VBD DT NNP NNPS CC NNP NNP VBD TO VB JJ NNS IN JJ NNS .
55650,WRB VBD DT JJ NN IN JJ NNS VBP .
55651,WP VBD VBN JJ NNS IN DT NNP .
55652,NNP NNP VBD NN IN JJ NNS VBP NN IN NNP .
55653,"WDT CD VBD NNP NNS VBP VBD NNP VBN IN DT JJ , JJ NN ."
55654,"IN DT JJ NN , WP VBD PRP VB VBD TO VB VBN TO RB VB DT NN ."
55655,WRB JJ NNS VBD NNP NNP VBD JJ NN MD VB VBN IN .
55656,WP VBZ DT NN VBN TO VB WP NNP MD VB JJ CC VBN TO .
55657,WP NN IN NN VBD VBN IN VBD IN NNP POS CD NNS .
55658,WP VBZ DT JJ JJS NN IN DT NN .
55659,WP VBZ DT JJ JJS NN IN DT NN .
55660,WP VBZ DT JJ NN IN DT NNP NNP .
55661,WP VBZ DT JJS NN IN DT NN .
55662,WP VBZ DT JJ NN IN DT NNP NNP .
55663,WP VBZ DT NNP VBP JJ TO NN IN .
55664,DT JJ CC JJ NNS IN DT NN VBP NN IN WP NNS .
55665,WP VBZ DT NNP VBP VBN IN .
55666,WRB RB VBZ DT NNP VBP IN NN .
55667,WP NN VBZ NNP IN DT NNP NNP .
55668,WP VBZ TO DT NN IN DT NNP .
55669,WP NN IN NN VBZ DT NNP VB .
55670,WP VBZ DT JJ NN NN NN IN DT NNP .
55671,WP VBZ DT NN POS JJS JJ NN JJ NN .
55672,WP VBZ VBZ DT NNP VBN IN .
55673,WP VBZ PRP JJ IN NNS TO VB .
55674,WP VBZ JJ NN CC JJ NN .
55675,WP NN VBZ RB JJ .
55676,WRB VBZ DT NN DT JJS .
55677,WP NN IN DT NNP POS NN NN VBP DT RBS VBN .
55678,WP VBZ DT NN NN VBG IN DT NNP .
55679,WP NN IN DT NN VBZ DT NN VBZ RB VBN RP .
55680,WP VBZ VBN JJ TO JJ NN JJ NN .
55681,WP NN VBZ VB DT NN IN DT NN .
55682,WRB VBP DT NNP NNP VBN .
55683,WP VBZ DT JJ NN IN NN IN DT NNP .
55684,WP VBZ DT NN DT NNP VBZ NN .
55685,WP VBZ DT NN VBP TO VB .
55686,WP VBZ DT NN IN NN RB IN DT NN .
55687,WP VBZ DT JJS NN RB JJ NN NN .
55688,WP VBZ DT NN NN IN JJS IN DT NN .
55689,WP NN IN NN VBZ DT NN RB IN JJS IN DT NN .
55690,WP VBZ DT JJ NN JJ JJ NN .
55691,IN JJ WRB JJ MD DT NNS VBP .
55692,WP VBZ DT NN DT JJ NN VBZ JJR NN CC NN .
55693,WP VBZ DT JJ NN IN DT NNP .
55694,WRB JJ NN NN VBZ DT NNP .
55695,WP VBZ DT JJ NN TO VB NN CC NN .
55696,JJ NNS VBZ DT NNP NNP VB .
55697,WP NNS VBP DT NN VBZ VB .
55698,WP VBZ DT JJ NN IN DT NNS IN NNP CC NNP .
55699,WRB JJ NN VBZ DT NN NN .
55700,WP VBZ DT NN IN NNS IN DT NNP NNP .
55701,WP VBP NNS VB IN NN TO VB NN NN .
55702,WRB VBP NNS VB PRP$ NN TO VB DT NNS .
55703,WP VBZ NNS IN NN TO VB RB JJ NN IN JJ .
55704,WRB JJ VBP VBP IN DT NNP NNP NN .
55705,WP NNS VBP DT NN POS PDT DT NN .
55706,WRB JJ JJ NN POS VBP VBN IN DT NN .
55707,WP NNS IN DT NNS MD RB VB NN NNS .
55708,WP JJ NNS VBP VBN TO VB NN .
55709,WP NN IN NN MD VB JJ IN DT NNP .
55710,WRB VBD NNS VBP VBG IN DT NN IN DT NN .
55711,WRB JJ NN NNS VBD VBN TO VB VBN IN DT NN NN NN .
55712,WP NN IN DT NNP VBZ JJ IN NN .
55713,WP VBZ VBN TO VB VBN NNS IN DT NNP .
55714,IN WP NN VBD DT JJ NNP NN IN NN .
55715,WP NN IN NN NN VBD VBN IN DT NNP .
55716,WP VBP NNS IN DT JJ VBN NN VBN IN NNP NNP .
55717,WP VBD NNPS VBG IN DT JJ NNP NN .
55718,IN WP NN NN VBD DT NNPS VBG JJ NNS .
55719,WP NNS VBD RB NNS VBN IN NN .
55720,IN WDT NN VBD DT JJ NN WRB PRP VBD VBN .
55721,IN WP NN NN VBD DT NNP MD VB PRP VBZ NN .
55722,WP VBD DT JJ NN IN DT NNP VBD RB JJ .
55723,WP NN VBZ VBN IN VBG DT NN IN DT NN .
55724,WRB VBD DT NNP VBD PRP$ NN NNS .
55725,NNP NN VBD DT NNPS VBP IN NN .
55726,WP MD VB DT NN VBG DT NNS IN JJ NN .
55727,WP NN NN VBD DT NNP NN IN .
55728,WP VBD DT NNPS VBP IN NN TO VB NN TO PRP$ NNS .
55729,WRB JJ NNS VBP VBN TO VB VBN IN NNS .
55730,WP VBD DT NN IN DT NN IN DT NNP NN .
55731,WP NN IN NNS VBD DT JJ NNS IN DT NNP .
55732,WP NN NN VBD DT NNP NN IN NNP NNP VB NN .
55733,WP VBZ DT JJ NN IN NNS WDT VBD VBN DT NN .
55734,IN DT CD WP VBD DT JJ NN IN DT NNP NNP .
55735,WP VBD DT NNP NNP NN TO PRP$ NNS .
55736,WP VBD DT JJ NN IN DT NN IN NNP .
55737,WP NN NN VBD DT NN IN DT NNP VB .
55738,WP NN VBD DT NNPS IN DT NNPS IN CD .
55739,IN WP NN VBD JJ VBN IN RBR JJ NNS .
55740,WP VBZ DT RBS JJ NN VBN IN DT NNP .
55741,WP NN VBZ RB VBN IN NNP NNP .
55742,WP VBD DT JJ NN IN NNP NNS .
55743,JJ NNP NN VBZ RB VBN IN VBG DT NN `` NN IN NN '' .
55744,JJ JJ NN RB VBD DT NN `` NN IN NN '' JJ IN DT CD .
55745,WP NN NNP RB VBP WDT VBZ RB VBN TO `` DT NN IN NN '' .
55746,NNP NNP VBD DT NN IN DT NN IN NN TO VB WP NN .
55747,"VBG TO DT NN IN NN , WP MD VB DT NN IN NNS IN DT NN ."
55748,IN WP NNS IN NN VBP NNS RB VBN TO DT JJ NNS IN JJ NNS .
55749,"VBG TO DT NN IN NN , WP MD VB DT NNS ."
55750,WP VBP NNS VBN WDT VBP VBN IN DT NN IN NN IN NN .
55751,WP VBZ TO DT NN IN NN IN DT NN VBZ RB VB DT JJ NN IN NN CC NN .
55752,IN WP NNS MD VB NNS RB VB DT NN IN NN .
55753,IN WP NN VBD DT NNP NNP RB VBP VBD RBS IN NN .
55754,"VBG TO NNP , WP VBD IN DT NN ."
55755,WP NN IN NN VBD VBN IN NNP .
55756,IN WP NN VBD NNP VB DT NN MD VB VBN .
55757,TO WP VBD NNP VB DT NN WDT VBZ NNS .
55758,IN WDT NN IN DT NNP VBP NNS IN JJ NNS VBN .
55759,WP VBD IN DT NN NNS IN NNS IN NNP IN DT CD .
55760,"WP NN VBD DT NNS IN DT NN IN NNS , IN VBN IN NNP , NN RB NN ."
55761,WP JJ NN MD VB DT JJ NN IN JJ NN NN NNS .
55762,"VBG TO DT NNS VBD IN JJ NNS IN NNP , NN IN WP VBD VBN ."
55763,TO WP VBD JJ NNP NNP NNP NNP NNP VBP DT NN .
55764,"VBG TO NNP NNP NNP NNP NNP NNP , WP MD VB VB ."
55765,WRB VBD NNP NNP NNP NNP NNP NNP NN IN DT NNP IN NNP .
55766,WRB VBD DT NN NN IN WP VBD VBD IN DT NNP IN NNP .
55767,WP VBD NNP NNP POS JJ NN .
55768,WP VBZ DT NN IN DT JJ NN .
55769,WP VBZ DT NN IN DT JJ NN .
55770,"WP RB , CC IN JJS NN TO , RB IN DT NN IN NN ."
55771,IN WP VBP NNS IN DT NN IN NN VBP JJ NNS VB .
55772,WP VBZ DT JJ CC JJR VBD TO VB IN VBG DT NN IN NN .
55773,"VBG TO JJ NNS , WP NNS MD DT NN IN NN VBP ."
55774,"VBG TO DT , WP VBZ DT NN IN NN VBZ VBN TO VB ."
55775,WP NN IN NN VBZ VBN IN DT NN IN DT NN IN NN .
55776,"VBG TO DT JJ NNS , IN WP VBP RB DT NNS IN NN TO VB VBN DT NN ."
55777,WP VBP DT CD NNS TO VBG DT NN IN DT NN IN NN .
55778,JJ NN IN DT NN IN NN VBZ VBN IN DT JJR NN .
55779,"VBG TO DT NN NN , WP RB , IN NN , MD NNS VB ."
55780,"VBG TO DT NN NN , WRB JJ NN MD DT NN VBP ."
55781,WRB JJ NNS IN NN VBP RB IN DT NN IN NN IN DT NN NN .
55782,JJ NN IN DT NN IN NN VBZ RBR RB VBN .
55783,"VBG TO DT JJ NN , WP NN VBZ JJ IN DT NN IN NN ."
55784,WP NN IN NN VBP NNS IN DT JJ NN IN DT `` NN IN NN '' VB .
55785,WP NN IN NN VBP NNS IN DT JJ NN IN DT `` NN IN NN '' VB .
55786,WP VBZ TO DT WDT VBP RB VB TO DT NN IN NN .
55787,WP VBZ IN DT NN IN NN .
55788,IN WRB JJ NNS VBP NN IN NN NN NNS VBN VBN .
55789,WP VBZ DT NN WDT VBD DT NN VBN IN DT NN IN NN .
55790,WP VBZ DT JJ NN IN NN .
55791,WP VBZ DT JJ NN IN NN .
55792,WP VBZ DT JJ NN IN VBG JJ NN .
55793,WP VBZ DT NNP CC NNP NNP NNP NN TO VB IN .
55794,"VBG TO DT NNP , WP VBZ JJ TO DT NNS IN NN ."
55795,WP VBP DT NNP CC NNP NNP VBZ NN TO VB .
55796,"VBG TO DT NNP , TO WP VBZ DT NN IN NN NN ."
55797,WP NN IN DT NN VBZ JJ NN .
55798,WP NN IN NN MD VB WP VBZ PRP VBZ .
55799,NNP NN IN NN VBZ JJ NN .
55800,WP VBZ IN DT NNS VBN IN NNP NNP .
55801,IN WP NN IN NNS VBZ PRP VBD IN CC RB PRP VBD VBN VBG TO DT NN IN NN .
55802,"VBG TO NNP NNP , IN DT NNP , WP VBZ NN ."
55803,"VBG TO NNP NNP NNP , WP VBD DT JJ NNS VBD RB RB NNS ."
55804,WRB VBD DT NN VBN IN JJ NNS IN NN NN .
55805,WP MD VB IN DT NN MD VB VBN RB .
55806,WP MD VB JJ TO VB JJ NNS IN NN .
55807,WP VBD NNP NNP NNP .
55808,WRB VBD DT NNP NNP .
55809,WP VBD IN DT NNP NNP IN DT JJ NN IN RB VBG NNS VB JJ TO VB NNS .
55810,WP VBD NNP NNP POS NN .
55811,WP VBD NNP NNP NN WDT NNS MD VB TO DT NN .
55812,WP NNP JJ NN VBD JJ NN .
55813,WP NNP JJ NN VBD JJ NN VBG .
55814,WRB JJ VBZ DT NN IN NN IN JJS JJ NNS .
55815,JJ JJ NNS RB VBP NNS .
55816,WDT CD JJ NNS VBP VBN TO VB DT NN IN NN .
55817,WP VBZ VBN NNP CC NNP TO VB TO DT NN IN NN .
55818,WP VBZ VBG DT NN IN DT NN IN NN IN NNP .
55819,TO WP VBZ DT NN IN NN JJ TO IN NNP POS NN NNS .
55820,WP VBZ MD VB TO DT NN IN NN RB NN IN NNP .
55821,WRB VBZ DT NN IN NN VBN JJR IN DT NN IN DT NN IN NN .
55822,VBG TO WP NNS VBP RBS NNS IN NNP VBD .
55823,"IN NNP , WP NN IN NN VBD DT NN IN NN NN ."
55824,WRB VBD NNP RB VB TO VB PRP$ NN VBN IN DT NN .
55825,WP VBZ DT NN TO DT NNP IN NNP .
55826,WP NN VBZ DT JJS NN IN DT NN .
55827,IN WP NN VBD NNP POS NN VBN .
55828,WP NN VBZ DT JJS NN .
55829,"IN NNP , DT NN IN DT NN VBZ DT NNS NNS TO VB WP ."
55830,WP VBZ IN NN TO VB NN IN DT NN IN NN IN NNP .
55831,WRB VBD DT NNP IN NNP VB .
55832,WRB JJ NNS VBN IN DT NNP IN NNP .
55833,"VBG TO DT NNP IN NNP , WP VBZ JJ NNS CC NNS ."
55834,"VBG TO DT NNP IN NNP , WP NN IN NNS VBP VBN IN JJ NN ."
55835,WRB DT NN IN NN VBP DT JJ NN IN DT NNP NNP .
55836,WP NN VBZ DT NN IN NN .
55837,WP NN VBZ TO VB CC VB DT NNS WDT VBP VBN IN DT NN IN NN .
55838,WP VBP DT NNP NNP CC NNP IN NNP VBP DT NN IN NN TO VB VBN IN .
55839,IN WP NN VBD NN VBN IN DT NN IN NN IN DT NNP NNP .
55840,WP NN VBZ TO VB DT NN CC NN TO DT NN IN NN .
55841,WP VBZ IN NNS VBZ DT NNP NN IN VBG .
55842,IN WRB JJ NNS VBZ DT NNP NN .
55843,DT NN IN DT NN IN NN IN WP VBZ RB VBN .
55844,WP NN VBZ TO VB NNS CC PRP$ NN IN DT NN .
55845,IN WP NN IN NN VBZ NN VBN .
55846,"IN VBG NNS , WP VBZ JJS IN DT NN NNS ."
55847,WP VBZ DT NN IN NN IN NNS .
55848,WP NN VBZ VBN IN JJS NN IN NN NNS .
55849,IN WP NNS IN NNS VBZ DT NN IN NN JJ TO DT NN .
55850,"IN JJ JJ NN NNS , WP VBZ DT NN IN NN VBN TO IN ."
55851,WP JJ NNS VBP JJ NNS .
55852,"WP VBZ RB JJ IN NN IN NNS , NNS , CC DT NN ."
55853,WP VBZ NNP . NNP POS NN .
55854,"VBG TO NNP , IN DT NN IN NN IN NN WP MD VB NNS VBP JJR NN NNS ."
55855,"VBG TO NNP , VBD NN NN IN DT NN IN NN VBZ RB VB WP TO NNS ."
55856,"VBG TO NNP , NNS VBP JJ TO VB WP IN DT NN IN NN ."
55857,WP VBZ DT JJS NN IN NNP .
55858,WDT NN VBZ NNP .
55859,"WP VBZ DT JJ NN IN NNP , IN NNS ."
55860,WRB JJ NNS IN NN NN VBZ VB POS JJS NN NN .
55861,"WRB VBZ DT JJ NN IN NNP , NNP , CC NNP NNS ."
55862,WRB VBD DT JJ NNS IN NNP VBD .
55863,WRB VBD DT NNP NN NN .
55864,JJ NNP NNS VBD TO VB DT JJ NN IN NNP .
55865,JJ NN VBD NNS IN NNP IN NNP NN .
55866,IN WP NN VBD DT JJ NN VBD .
55867,IN WP NN VBD NNP NN IN DT VBG NN .
55868,WRB VBZ DT NNP NNP NNP .
55869,JJ NN VBD TO NNP POS NN IN DT NNP POS NNP IN NNP .
55870,WP VBZ DT NN IN NNP VBN IN .
55871,WP VBZ RB VBN DT VBG NN IN NNP .
55872,WP VBZ DT JJ NN IN NNP .
55873,WP VBZ DT JJ NN IN NNP .
55874,WDT CD NNS VBZ NNP NN NN .
55875,WP VBZ DT NNP NN IN DT NN .
55876,JJ NN NNS VBD VBN IN DT JJ VBN NN TO NNP `` NNP '' .
55877,WP NN VBD NNP RB VBP TO .
55878,WRB VBZ DT JJ NNP NN VBD TO IN DT JJ NNP NNP NN .
55879,"WRB VBP DT NNP NN TO NNP NNS , NN , CC NN ."
55880,IN WDT NN VBD DT NN NNP RB VBD .
55881,"JJ NNP NN VBZ `` NN , NN , NN , NN '' ."
55882,WP VBZ DT JJ NN NNP NN IN NNP .
55883,"WRB VBD DT NN IN NNP , NNP , RB VBP IN JJ NNS ."
55884,WP VBD NNP NNP VBP IN DT JJ NN TO DT JJ NN .
55885,WP VBZ DT JJ NN .
55886,WP NN IN NNP JJS RB VBZ DT JJ NNP NN .
55887,WP VBZ DT JJ JJ NN IN NNP .
55888,WRB JJ NNS IN DT NNP NNP VBP '' NNP POS .
55889,WRB JJ NNS WP VBP VBN JJ NNP VBP VBN TO VB JJ NNS IN NNP .
55890,"WRB VBP NNP , NNP , NNP , CC NNP VBD TO VB JJ NNS ."
55891,WP VBZ VBN NNP NN IN .
55892,WP VBD DT NN IN DT VBN NNP NN .
55893,IN WP VBD DT NNP NN POS NN VBN .
55894,WRB VBD DT NNP NNP NNS VBP IN .
55895,WRB VBD DT NNP NNP NNS VBP TO .
55896,WP VBZ VBN TO VB DT JJ NN IN DT NNP NN .
55897,JJ NNP NN VBD TO VB DT NN IN DT NNP NNP .
55898,WP VBD DT JJ JJ NN IN NNP .
55899,WP VBD DT NNP NNP .
55900,WP VBD NNP NNP NN IN CD .
55901,WP VBD NNP NNP POS JJ NN .
55902,WP VBD NNP NNP RB .
55903,WRB VBD NNP CC NNP VBD DT NN NN .
55904,WRB VBZ DT JJ NN IN NNP CC NNP POS NN NN NN .
55905,WRB VBD DT JJ NN IN NN NN TO DT NN IN JJ NNP .
55906,WP VBD DT NN IN JJ NNP .
55907,WP VBD VBN IN NNS CC NNS IN DT JJ VBN NN .
55908,WDT NN VBD NNP IN DT JJ JJ NN .
55909,WP VBD DT NN .
55910,WP VBD DT NN .
55911,WP VBD DT JJ NN IN DT NN .
55912,WP VBD JJ CC JJ NN .
55913,WP VBD JJ CC JJ JJ NNS .
55914,WP VBD JJ CC JJ NN .
55915,WP VBD JJ NN IN NNP IN DT CD .
55916,WP VBD DT NNP NN .
55917,WRB VBD DT NNP NNP VBD .
55918,WP VBD DT NNP NN .
55919,WP VBD NNS IN CD .
55920,WP NN VBD DT NNP NNP IN NNP NN .
55921,WP VBZ VBN IN VBG DT NNP NN .
55922,WP VBD DT JJ NNP NNP .
55923,WP VBD DT CD NNP NNP CC PRP$ NNS VB .
55924,WP VBZ DT NNP NN VBD TO IN .
55925,WRB VBD DT NNP JJ NN TO VB IN NNP .
55926,WRB VBD NNP VB IN VBG NN .
55927,WRB VBD NNP VBD IN VBG JJ NNS .
55928,WP VBD DT NNP NNP IN DT NN .
55929,WP VBD DT VBG NN VBN .
55930,WRB VBD DT NNP NNP NNP VBP DT JJ JJ NN IN NNP .
55931,WRB VBD DT NNP NNP NNP VBP DT JJ JJ NN IN NNP .
55932,WP VBD DT NNP NN IN DT NNP VBD .
55933,WRB VBD NNP VBN IN DT NNP .
55934,WRB VBD NNP NNP VBP TO NNP TO VB NNS IN NN .
55935,WP VBD TO VB IN NNP .
55936,WRB VBD DT JJ CC JJ NNS VBP VBG IN NNP .
55937,WRB VBD DT JJ NN TO NNP VB DT NN .
55938,IN WP VBD DT JJ NN TO VB .
55939,WRB JJ NNP NNS VBD IN DT NNP IN NNP NNP .
55940,WRB JJ JJ NNS VBD IN DT NNP IN NNP NNP .
55941,WP VBD DT NNP IN NNP .
55942,WRB VBD DT NNP NNP VBD DT VBG NN .
55943,WP VBD PRP NN IN DT JJ NN .
55944,WRB VBD NNP CC NNP VBP DT NN IN JJ NN .
55945,WRB VBD DT NNP NN VBD DT NNP NNP IN NNP .
55946,WRB VBD DT NNPS NN NN DT NN .
55947,WRB VBD DT NNP NNP POS NN NN TO IN DT CD NNP NNP .
55948,WRB JJ NNPS VBD IN DT NNP NNP NNP .
55949,WRB JJ NNS VBD VBN IN DT NNP NNP .
55950,WRB VBD NNP CC NNP VBD DT NN IN NNP NNP CC NNP NNP .
55951,TO WRB VBD JJ NNS WP .
55952,WRB VBD NNP NNP NN NNP .
55953,WRB VBD NNS IN DT NNP CC NNP NNS VBP VBG IN NN .
55954,WP VBD DT NN VBP WRB PRP VBD NNS .
55955,WRB VBD DT RBS JJ NNP NN .
55956,IN WP VBP DT NNP CC NNP NNS VBN VBN .
55957,IN WDT NN IN NNP VBZ NNP NNP VBN .
55958,"WRB JJ , IN NNS , VBZ NNP NNP ."
55959,WRB VBZ DT NN IN DT NNP NN .
55960,JJ NN VBZ DT JJ NN IN DT NNP CC NNPS .
55961,WP VBP NNP VB VBZ IN NNP NNP .
55962,WP VBZ DT NNP NN IN NNP NNP .
55963,JJ NN VBZ DT JJS IN NNP .
55964,WP VBZ DT JJ JJ NN IN NNP .
